generation,best_score,avg_score,worst_score,mutation_rate
1,3.300000,-4.021000,-8.800000,0.050000
2,5.400000,0.582333,-5.200000,0.050000
3,6.050000,4.076071,-3.300000,0.050000
4,6.050000,5.855396,2.350000,0.050000
5,7.050000,6.017391,3.150000,0.050000
6,7.050000,6.166667,2.850000,0.050000
7,7.050000,6.947826,3.850000,0.050000
8,7.050000,7.007971,3.750000,0.050000
9,7.650000,7.016667,5.550000,0.050000
10,7.650000,7.044203,4.950000,0.050000
11,7.650000,7.621739,5.850000,0.050000
12,8.250000,7.552899,4.050000,0.050000
13,8.450000,7.672464,3.750000,0.050000
14,8.450000,8.200725,4.350000,0.050000
15,8.450000,8.381159,5.350000,0.050000
16,8.450000,8.358696,5.050000,0.050000
17,8.550000,8.401449,6.050000,0.050000
18,8.550000,8.324638,5.550000,0.050000
19,8.550000,8.493478,6.150000,0.050000
20,8.550000,8.427536,3.550000,0.050000
21,8.550000,8.432609,4.350000,0.050000
22,8.550000,8.503623,5.050000,0.050000
23,8.550000,8.497826,5.650000,0.050000
24,8.550000,8.456522,5.050000,0.050000
25,8.550000,8.470290,5.050000,0.025000
26,8.550000,8.505797,6.550000,0.025000
27,8.550000,8.507971,4.550000,0.025000
28,8.550000,8.529710,6.750000,0.025000
29,8.550000,8.496377,4.650000,0.025000
30,8.550000,8.535507,7.150000,0.012500
31,8.550000,8.532609,6.150000,0.012500
32,8.550000,8.536957,6.750000,0.012500
33,8.550000,8.516667,4.650000,0.012500
34,8.650000,8.483333,4.250000,0.012500
35,8.650000,8.557971,8.550000,0.006250
36,8.650000,8.622464,6.850000,0.006250
37,8.650000,8.650000,8.650000,0.006250
38,8.650000,8.650000,8.650000,0.006250
39,8.650000,8.620290,6.450000,0.006250
40,8.650000,8.632609,6.250000,0.003125
41,8.650000,8.639130,7.150000,0.003125
42,8.650000,8.650000,8.650000,0.003125
43,8.650000,8.650000,8.650000,0.003125
44,8.650000,8.628986,5.750000,0.003125
45,8.650000,8.626087,5.350000,0.001563
46,8.650000,8.650000,8.650000,0.001563
47,8.650000,8.650000,8.650000,0.001563
48,8.650000,8.650000,8.650000,0.001563
49,8.650000,8.618841,4.350000,0.001563
50,8.650000,8.650000,8.650000,0.001000
51,8.650000,8.650000,8.650000,0.001000
52,8.650000,8.650000,8.650000,0.001000
53,8.650000,8.650000,8.650000,0.001000
54,8.650000,8.650000,8.650000,0.001000
55,8.650000,8.650000,8.650000,0.001000
56,8.650000,8.650000,8.650000,0.001000
57,8.650000,8.650000,8.650000,0.001000
58,8.650000,8.650000,8.650000,0.001000
59,8.650000,8.650000,8.650000,0.001000
60,8.650000,8.650000,8.650000,0.001000
61,8.650000,8.650000,8.650000,0.001000
62,8.650000,8.650000,8.650000,0.001000
63,8.650000,8.650000,8.650000,0.001000
64,8.650000,8.650000,8.650000,0.001000
65,8.650000,8.650000,8.650000,0.001000
66,8.650000,8.650000,8.650000,0.001000
67,8.650000,8.650000,8.650000,0.001000
68,8.650000,8.650000,8.650000,0.001000
69,8.650000,8.650000,8.650000,0.001000
70,8.650000,8.650000,8.650000,0.001000
71,8.650000,8.650000,8.650000,0.001000
72,8.650000,8.630435,5.950000,0.001000
73,8.650000,8.650000,8.650000,0.001000
74,8.650000,8.650000,8.650000,0.001000
75,8.650000,8.650000,8.650000,0.001000
76,8.650000,8.650000,8.650000,0.001000
77,8.650000,8.650000,8.650000,0.001000
78,8.650000,8.650000,8.650000,0.001000
79,8.650000,8.650000,8.650000,0.001000
80,8.650000,8.650000,8.650000,0.001000
81,8.650000,8.650000,8.650000,0.001000
82,8.650000,8.650000,8.650000,0.001000
83,8.650000,8.650000,8.650000,0.001000
84,8.650000,8.650000,8.650000,0.001000
85,8.650000,8.645652,8.050000,0.001000
86,8.650000,8.650000,8.650000,0.001000
87,8.650000,8.650000,8.650000,0.001000
88,8.650000,8.650000,8.650000,0.001000
89,8.650000,8.650000,8.650000,0.001000
90,8.650000,8.634783,6.550000,0.001000
91,8.650000,8.650000,8.650000,0.001000
92,8.650000,8.636957,6.850000,0.001000
93,8.650000,8.634783,6.550000,0.001000
94,8.650000,8.650000,8.650000,0.001000
95,8.650000,8.650000,8.650000,0.001000
96,8.650000,8.650000,8.650000,0.001000
97,8.650000,8.650000,8.650000,0.001000
98,8.650000,8.650000,8.650000,0.001000
99,8.650000,8.650000,8.650000,0.001000
100,8.650000,8.650000,8.650000,0.001000
