generation,best_score,avg_score,worst_score,mutation_rate
2,9.961026,4.676256,0.075385,0.050000
3,9.990346,4.651921,0.031601,0.050000
4,9.929649,4.680149,0.106821,0.050000
5,9.911781,4.681760,0.059552,0.050000
6,9.951629,5.109712,0.006757,0.050000
7,9.979976,5.127076,0.176204,0.025000
8,9.943044,4.702843,0.043166,0.025000
9,9.997289,5.293046,0.008645,0.025000
10,9.870126,5.098350,0.101080,0.025000
11,9.979616,4.884851,0.075660,0.025000
12,9.945550,5.120420,0.036063,0.012500
13,9.993907,4.698284,0.001457,0.012500
14,9.979449,5.378605,0.125031,0.012500
15,9.879108,4.950872,0.074110,0.012500
16,9.951762,4.584842,0.000376,0.012500
17,9.899681,5.196733,0.071761,0.006250
18,9.947092,4.857092,0.029607,0.006250
19,9.862790,4.709957,0.009964,0.006250
20,9.930930,4.683480,0.010271,0.006250
21,9.980785,5.121434,0.168148,0.006250
22,9.933184,5.236988,0.139292,0.003125
23,9.944417,4.532990,0.111412,0.003125
24,9.777366,4.686861,0.037531,0.003125
25,9.983994,5.318608,0.001241,0.003125
26,9.822000,5.013482,0.171609,0.003125
27,9.990534,4.628971,0.007041,0.001563
28,9.923779,5.165654,0.152253,0.001563
29,9.975946,4.990604,0.044260,0.001563
30,9.994686,5.037605,0.040738,0.001563
31,9.962616,5.083049,0.090166,0.001563
32,9.998844,4.809885,0.003266,0.001000
33,9.880856,5.041523,0.058310,0.001000
34,9.912366,4.890399,0.061571,0.001000
35,9.952860,4.752778,0.178081,0.001000
36,9.906967,5.505800,0.341344,0.001000
37,9.987494,5.159284,0.143434,0.001000
38,9.924028,4.709403,0.088768,0.001000
39,9.902060,5.173318,0.053469,0.001000
40,9.952306,5.148945,0.008687,0.001000
41,9.979195,5.259481,0.020131,0.001000
42,9.986093,5.146503,0.012278,0.001000
43,9.895508,4.669518,0.156956,0.001000
44,9.947317,4.827453,0.060878,0.001000
45,9.918094,4.729738,0.012508,0.001000
46,9.975148,5.458815,0.054565,0.001000
47,9.963210,4.958323,0.011001,0.001000
48,9.942158,5.000808,0.125981,0.001000
49,9.969285,5.228072,0.323708,0.001000
50,9.891043,5.265392,0.056837,0.001000
51,9.662326,4.731427,0.090845,0.001000
52,9.865372,5.264313,0.000773,0.001000
53,9.869892,4.763313,0.034488,0.001000
54,9.823538,4.818688,0.186611,0.001000
55,9.952884,4.893442,0.188593,0.001000
56,9.934873,5.071352,0.039724,0.001000
57,9.837765,5.035572,0.085551,0.001000
58,9.859677,4.935763,0.039907,0.001000
59,9.967996,5.679093,0.200610,0.001000
60,9.980313,4.539908,0.067749,0.001000
61,9.933330,4.578408,0.052086,0.001000
62,9.826799,4.892305,0.019332,0.001000
63,9.909331,4.739848,0.026425,0.001000
64,9.852936,4.767752,0.010027,0.001000
65,9.857660,4.824571,0.135502,0.001000
66,9.942045,5.033782,0.014677,0.001000
67,9.923776,4.987072,0.003674,0.001000
68,9.919056,5.061602,0.003025,0.001000
69,9.520384,4.870572,0.045984,0.001000
70,9.977506,4.911506,0.026002,0.001000
71,9.944655,4.837451,0.004960,0.001000
72,9.987977,4.856983,0.066071,0.001000
73,9.985636,5.640777,0.077465,0.001000
74,9.944039,4.606815,0.070496,0.001000
75,9.996560,5.267732,0.035607,0.001000
76,9.901838,4.643832,0.014307,0.001000
77,9.915407,4.970070,0.005514,0.001000
78,9.996441,5.625587,0.076228,0.001000
79,9.906905,4.799908,0.047898,0.001000
80,9.969896,4.709992,0.069802,0.001000
81,9.954930,4.731849,0.042769,0.001000
82,9.996241,5.256376,0.053275,0.001000
83,9.966210,4.834908,0.014068,0.001000
84,9.920415,5.242053,0.110997,0.001000
85,9.869767,5.035801,0.074030,0.001000
86,9.945133,5.008912,0.018221,0.001000
87,9.840108,5.142386,0.008020,0.001000
88,9.785051,4.788090,0.003670,0.001000
89,9.850624,4.627987,0.061519,0.001000
90,9.895814,4.812240,0.040673,0.001000
91,9.912694,5.170834,0.261778,0.001000
92,9.830256,5.039310,0.101887,0.001000
93,9.994606,5.008435,0.035336,0.001000
94,9.953976,4.789912,0.101313,0.001000
95,9.850508,4.728017,0.050699,0.001000
96,9.995959,5.364166,0.159442,0.001000
97,9.988457,5.101639,0.032575,0.001000
98,9.962549,4.986193,0.047753,0.001000
99,9.840881,5.065364,0.085509,0.001000
100,9.965627,5.271229,0.076807,0.001000
101,9.998969,5.230152,0.044206,0.001000
